,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
0,People Tree Hospitals,"Yeshwanthpur, Bangalore",50.0,200.0
1,Marvel Hospital And Fertility Centre,"Koramangala 1 Block, Bangalore",15.0,30.0
2,Apollo Spectra Hospitals,"Koramangala 5 Block, Bangalore",39.0,20.0
3,Narayana Hrudhayalaya Multispeciality Hospital,"Whitefield, Bangalore",2.0,150.0
4,Cloudnine Kids,"Jayanagar, Bangalore",39.0,32.0
5,BGS Global Hospital,"Kengeri, Bangalore",27.0,100.0
6,Motherhood Hospital,"Indiranagar, Bangalore",37.0,42.0
7,MediHope Super Speciality Hospital,"New Thippasandra, Bangalore",16.0,110.0
8,Navachetana Hospital,"Yelahanka, Bangalore",22.0,30.0
9,Bhagwan Mahaveer Jain Hospital - Vasanthnagar,"Millers Road, Bangalore",45.0,500.0
10,MS Ramaiah Memorial Hospital,"New BEL Road, Bangalore",56.0,
11,St John Medical College and Hospital,"Sarjapur Road, Bangalore",29.0,1348.0
12,Vydehi Hospital,"Whitefield, Bangalore",15.0,
13,Koshys Hospital,"Ramamurthy Nagar, Bangalore",21.0,25.0
14,St. Philomena's Hospital,"Viveknagar, Bangalore",55.0,400.0
15,Manipal Hospital,"Old Airport Road, Bangalore",173.0,100.0
16,Axon Speciality Hospital,"Indiranagar, Bangalore",11.0,50.0
17,Lotus Multispeciality Center,"HSR Layout, Bangalore",5.0,
18,Queens Hospital,"HSR Layout, Bangalore",8.0,40.0
19,Panacea Hospital - Nagarabhavi,"Nagarbhavi, Bangalore",56.0,
20,Columbia Asia Hospital,"Hebbal, Bangalore",12.0,
21,Narayana Multispeciality Hospital,"HSR Layout, Bangalore",2.0,90.0
22,Mallige Medical Centre,"Kumara Park West, Bangalore",48.0,150.0
23,Bharathi Nursing Home,"Basavanagudi, Bangalore",11.0,30.0
24,Sagar Hospital,"Jayanagar, Bangalore",30.0,200.0
25,Motherhood Hospital,"Sarjapur Road, Bangalore",27.0,48.0
26,Hosmat Hospital,"Magrath Road, Bangalore",11.0,164.0
27,Fortis Hospital Cunningham Road,"Cunningham Road, Bangalore",43.0,
28,Specialist Hospital,"Kalyan Nagar, Bangalore",9.0,150.0
29,Ramakrishna Super Speciality Hospital,"Jayanagar, Bangalore",18.0,38.0
30,Bangalore Baptist Hospital,"Hebbal, Bangalore",52.0,
31,Mirlay Eye Care,"Frazer Town, Bangalore",7.0,
32,Abhaya Hospital,"Wilson Garden, Bangalore",3.0,100.0
33,Spandana Nursing Home,"Rajajinagar, Bangalore",6.0,
34,Vikram Hospital,"Millers Road, Bangalore",19.0,225.0
35,Acura Speciality Hospital,"Koramangala 5 Block, Bangalore",5.0,20.0
36,Sagar  Hospitals,"Jayanagar 9 Block, Bangalore",10.0,
37,National Institute of Mental Health and Neuro Sciences Hospital (NIMHANS),"Hosur Road, Bangalore",8.0,
38,Nethradhama Super Speciality Eye Hospital,"Jayanagar, Bangalore",8.0,
39,Brookefield Hospital,"Kundalahalli, Bangalore",25.0,100.0
40,Milann The Fertility Center,"Kumara Park West, Bangalore",8.0,36.0
41,Sakhii Hospital,"BTM Layout 2nd Stage, Bangalore",2.0,21.0
42,Neighbourhood Hospital,"JP Nagar 7 Phase, Bangalore",14.0,50.0
43,K.C. Raju Multi Speciality Hospital,"Lingarajapuram, Bangalore",3.0,50.0
44,Maharaja Agrasen Hospital,"Padmanabhanagar, Bangalore",32.0,40.0
45,Fortis Hospitals,"Rajajinagar, Bangalore",22.0,
46,Shekar Nethralaya Super Speciality Eye Hospital,"JP Nagar 3 Phase, Bangalore",11.0,
47,HCG Bangalore Institute Of Oncology Speciality Centre,"Shantinagar, Bangalore",19.0,
48,ReSCUE -  The Urology Center,"Rajajinagar, Bangalore",9.0,20.0
49,Patients First (A Unit of Shraddha Health Care),"Koramangala 1 Block, Bangalore",3.0,4.0
50,Chaya Hospital ,"Doorvani Nagar, Bangalore",15.0,
51,Jeevika Hospital,"Marathahalli, Bangalore",13.0,80.0
52,Family Hospital,"Mathikere - BEL, Bangalore",21.0,20.0
53,Mazumdar Shaw Medical Center,"Anekal, Bangalore",1.0,1200.0
54,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9.0,70.0
55,VIMS Speciality Hospitals,"Marathahalli, Bangalore",13.0,150.0
56,Motherhood Hospital,"Sahakaranagar, Bangalore",16.0,42.0
57,Supra South City Hospital,"JP Nagar 7 Phase, Bangalore",1.0,25.0
58,Divakars Speciality Hospital,"JP Nagar 2 Phase, Bangalore",7.0,25.0
59,Cloudnine Hospital,"Malleswaram, Bangalore",29.0,47.0
60,Diavisita Diabetes & Multispeciality Hospital,"Banashankari 3rd Stage, Bangalore",1.0,50.0
61,Sri Ram Hospital,"KR Puram, Bangalore",7.0,
62,Anjani Women's Day Care Hospital,"HRBR Layout, Bangalore",2.0,5.0
63,S J Hospital,"Sanjay Nagar, Bangalore",7.0,30.0
64,Dr Malathi Manipal Hospital,"Jayanagar 9 Block, Bangalore",65.0,80.0
65,Rashmi Hospital,"Indiranagar, Bangalore",2.0,30.0
66,Sagar Chandramma Hospitals,"VV Puram, Bangalore",16.0,50.0
67,Sri Sai Hospital,"Nagawara, Bangalore",10.0,
68,Bangaluru Neuro Centre,"Malleswaram, Bangalore",9.0,22.0
69,Sanjeevini MultispecialIty Hospital,"Mahalakshmi Layout, Bangalore",18.0,76.0
70,Fortis Medcentre,"Marathahalli, Bangalore",2.0,50.0
71,Manohar Multispeciality Hospital,"RT Nagar, Bangalore",2.0,
72,Kaveri Speciality Hospital,"Koramangala, Bangalore",6.0,10.0
73,Manipal Fertility,"Rajajinagar, Bangalore",3.0,25.0
74,The Bangalore Hospital,"Basavanagudi, Bangalore",55.0,
75,North Side Manipal Hospital,"Malleswaram, Bangalore",12.0,
76,Aayug Multi Specialty Hospital,"Kundalahalli, Bangalore",2.0,30.0
77,Ananya Hospital,"Rajajinagar, Bangalore",3.0,
78,Sri Sai Ram Hospital,"BTM Layout 2nd Stage, Bangalore",20.0,40.0
79,Parimala Health Care Services,"Bannerghatta Road, Bangalore",4.0,25.0
80,Acharya Tulasi Jain  Hospital,"Yeshwanthpur, Bangalore",13.0,
81,R K Hospital,"Kammana Halli, Bangalore",9.0,
82,Maiya Multi Speciality Hospital,"Jayanagar, Bangalore",20.0,40.0
83,Life Care Hospital,"BTM Layout, Bangalore",10.0,30.0
